date,open,high,low,close,volume,Name
2017-01-03,47.28,47.34,46.135,46.3,6737752,AAL
2017-01-04,46.63,47.435,46.35,46.7,5859604,AAL
2017-01-05,46.52,46.93,45.61,45.89,6825316,AAL
2017-01-06,45.85,46.72,45.47,46.21,7260197,AAL
2017-01-09,46.01,47.34,45.78,47.08,4739142,AAL
2017-01-10,47.0,48.51,46.97,48.48,7483764,AAL
2017-01-11,49.29,49.9,48.1,48.64,6925770,AAL
2017-01-12,48.67,49.0,46.84,48.1,5448098,AAL
2017-01-13,48.16,48.43,47.54,47.65,3541980,AAL
